Language;Name;Gender
hungarian;Dorka;female
hungarian;Emilia;female
hungarian;Blanka;female
hungarian;Rebeka;female
hungarian;Liliana;female
hungarian;Abigel;female
hungarian;Csenge;female
hungarian;Elena;female
hungarian;Milla;female
hungarian;Nara;female
hungarian;Natasa;female
hungarian;Bianka;female
hungarian;Elizabet;female
hungarian;Eszter;female
hungarian;Lotti;female
hungarian;Dora;female
hungarian;Roza;female
hungarian;Szofi;female
hungarian;Szofia;female
hungarian;Viktoria;female
hungarian;Petra;female
hungarian;Noemi;female
hungarian;Odett;female
hungarian;Julia;female
hungarian;Eliza;female
hungarian;Dorina;female
hungarian;Reka;female
hungarian;Lujza;female
hungarian;Amira;female
hungarian;Johanna;female
hungarian;Nazira;female
hungarian;Boroka;female
hungarian;Hanga;female
hungarian;Zora;female
hungarian;Panka;female
hungarian;Emili;female
hungarian;Mia;female
hungarian;Szonja;female
hungarian;Zorka;female
hungarian;Vivien;female
hungarian;Natalia;female
hungarian;Zejnep;female
hungarian;Lia;female
hungarian;Tamara;female
hungarian;Elina;female
hungarian;Norina;female
hungarian;Nina;female
hungarian;Leticia;female
hungarian;Biborka;female
hungarian;Diana;female
hungarian;Fruzsina;female
hungarian;Alina;female
hungarian;Hedi;female
hungarian;Borbala;female
hungarian;Regina;female
hungarian;Lana;female
hungarian;Mirella;female
hungarian;Olivia;female
hungarian;Dorottya;female
hungarian;Mirabella;female
hungarian;Alexandra;female
hungarian;Kincso;female
hungarian;Lora;female
hungarian;Zita;female
hungarian;Kinga;female
hungarian;Rozina;female
hungarian;Luna;female
